BITOLA,Massa Linear,d,bf,Espessura,,h,d',Área,Eixo X - X,,,,Eixo Y - Y,,,,r t,I t,Esbeltez,,Cw,u,BITOLA
,,,,tw,tf,,,, Ix ,Wx,rx,Zx,Iy,Wy,ry,Zy,,,Aba,Alma,,,
mm x kg/m,Kg/m,mm,mm,mm,mm,mm,mm,cm2, cm4 ,cm3,cm,cm3,cm4,cm3,cm,cm3,cm,cm4,bf / 2tf,d' / tw,cm6,m2/m,mm x kg/m
"W 150 x 13,0",13,148,100,"4,3","4,9",138,118,"16,6",635,"85,8","6,18","96,4",82,"16,4","2,22","25,5","2,6","1,72","10,2","27,49",4.181,"0,67","W 150 x 13,0"
"W 150 x 18,0",18,153,102,"5,8","7,1",139,119,"23,4",939,"122,8","6,34","139,4",126,"24,7","2,32","38,5","2,69","4,34","7,18","20,48",6.683,"0,69","W 150 x 18,0"
"W 150 x 22,5 (H)","22,5",152,152,"5,8","6,6",139,119,29,1.229,"161,7","6,51","179,6",387,"50,9","3,65","77,9","4,1","4,75","11,52","20,48",20.417,"0,88","W 150 x 22,5 (H)"
"W 150 x 24,0",24,160,102,"6,6","10,3",139,115,"31,5",1.384,173,"6,63","197,6",183,"35,9","2,41","55,8","2,73","11,08","4,95","17,48",10.206,"0,69","W 150 x 24,0"
"W 150 x 29,8 (H)","29,8",157,153,"6,6","9,3",138,118,"38,5",1.739,"221,5","6,72","247,5",556,"72,6","3,8","110,8","4,18","10,95","8,23","17,94",30.277,"0,9","W 150 x 29,8 (H)"
"W 150 x 37,1 (H)","37,1",162,154,"8,1","11,6",139,119,"47,8",2.244,277,"6,85","313,5",707,"91,8","3,84","140,4","4,22","20,58","6,64","14,67",39.930,"0,91","W 150 x 37,1 (H)"
"W 200 x 15,0",15,200,100,"4,3","5,2",190,170,"19,4",1.305,"130,5","8,2","147,9",87,"17,4","2,12","27,3","2,55","2,05","9,62","39,44",8.222,"0,77","W 200 x 15,0"
"W 200 x 19,3","19,3",203,102,"5,8","6,5",190,170,"25,1",1.686,"166,1","8,19","190,6",116,"22,7","2,14","35,9","2,59","4,02","7,85","29,31",11.098,"0,79","W 200 x 19,3"
"W 200 x 22,5","22,5",206,102,"6,2",8,190,170,29,2.029,197,"8,37","225,5",142,"27,9","2,22","43,9","2,63","6,18","6,38","27,42",13.868,"0,79","W 200 x 22,5"
"W 200 x 26,6","26,6",207,133,"5,8","8,4",190,170,"34,2",2.611,"252,3","8,73","282,3",330,"49,6","3,1","76,3","3,54","7,65","7,92","29,34",32.477,"0,92","W 200 x 26,6"
"W 200 x 31,3","31,3",210,134,"6,4","10,2",190,170,"40,3",3.168,"301,7","8,86","338,6",410,"61,2","3,19",94,"3,6","12,59","6,57","26,5",40.822,"0,93","W 200 x 31,3"
"W 200 x 35,9 (H)","35,9",201,165,"6,2","10,2",181,161,"45,7",3.437,342,"8,67","379,2",764,"92,6","4,09",141,"4,5","14,51","8,09","25,9",69.502,"1,03","W 200 x 35,9 (H)"
"W 200 x 41,7 (H)","41,7",205,166,"7,2","11,8",181,157,"53,5",4.114,"401,4","8,77","448,6",901,"108,5","4,1","165,7","4,53","23,19","7,03","21,86",83.948,"1,04","W 200 x 41,7 (H)"
"W 200 x 46,1 (H)","46,1",203,203,"7,2",11,181,161,"58,6",4.543,"447,6","8,81","495,3",1.535,"151,2","5,12","229,5","5,58","22,01","9,23","22,36",141.342,"1,19","W 200 x 46,1 (H)"
"W 200 x 52,0 (H)",52,206,204,"7,9","12,6",181,157,"66,9",5.298,"514,4","8,9","572,5",1.784,"174,9","5,16","265,8","5,61","33,34","8,1","19,85",166.710,"1,19","W 200 x 52,0 (H)"
"HP 200 x 53,0 (H)",53,204,207,"11,3","11,3",181,161,"68,1",4.977,488,"8,55","551,3",1.673,"161,7","4,96","248,6","5,57","31,93","9,16","14,28",155.075,"1,2","HP 200 x 53,0 (H)"
"W 200 x 59,0 (H)",59,210,205,"9,1","14,2",182,158,76,6.140,"584,8","8,99","655,9",2.041,"199,1","5,18",303,"5,64","47,69","7,22","17,32",195.418,"1,2","W 200 x 59,0 (H)"
"W 200 x 71,0 (H)",71,216,206,"10,2","17,4",181,161,91,7.660,"709,2","9,17","803,2",2.537,"246,3","5,28","374,5","5,7","81,66","5,92","15,8",249.976,"1,22","W 200 x 71,0 (H)"
"W 200 x 86,0 (H)",86,222,209,13,"20,6",181,157,"110,9",9.498,"855,7","9,26","984,2",3.139,"300,4","5,32","458,7","5,77","142,19","5,07","12,06",317.844,"1,23","W 200 x 86,0 (H)"
"W 250 x 17,9","17,9",251,101,"4,8","5,3",240,220,"23,1",2.291,"182,6","9,96",211,91,"18,1","1,99","28,8","2,48","2,54","9,53","45,92",13.735,"0,88","W 250 x 17,9"
"W 250 x 22,3","22,3",254,102,"5,8","6,9",240,220,"28,9",2.939,"231,3","10,09","267,7",123,"24,1","2,06","38,4","2,54","4,77","7,39","37,97",18.629,"0,89","W 250 x 22,3"
"W 250 x 25,3","25,3",257,102,"6,1","8,4",240,220,"32,6",3.473,"270,2","10,31","311,1",149,"29,3","2,14","46,4","2,58","7,06","6,07","36,1",22.955,"0,89","W 250 x 25,3"
"W 250 x 28,4","28,4",260,102,"6,4",10,240,220,"36,6",4.046,"311,2","10,51","357,3",178,"34,8","2,2","54,9","2,62","10,34","5,1","34,38",27.636,"0,9","W 250 x 28,4"
"W 250 x 32,7","32,7",258,146,"6,1","9,1",240,220,"42,1",4.937,"382,7","10,83","428,5",473,"64,8","3,35","99,7","3,86","10,44","8,02","36,03",73.104,"1,07","W 250 x 32,7"
"W 250 x 38,5","38,5",262,147,"6,6","11,2",240,220,"49,6",6.057,"462,4","11,05","517,8",594,"80,8","3,46","124,1","3,93","17,63","6,56","33,27",93.242,"1,08","W 250 x 38,5"
"W 250 x 44,8","44,8",266,148,"7,6",13,240,220,"57,6",7.158,"538,2","11,15","606,3",704,"95,1","3,5","146,4","3,96","27,14","5,69","28,95",112.398,"1,09","W 250 x 44,8"
"HP 250 x 62,0 (H)",62,246,256,"10,5","10,7",225,201,"79,6",8.728,"709,6","10,47","790,5",2.995,234,"6,13","357,8","6,89","33,46","11,96","19,1",414.130,"1,47","HP 250 x 62,0 (H)"
"W 250 x 73,0 (H)",73,253,254,"8,6","14,2",225,201,"92,7",11.257,"889,9","11,02","983,3",3.880,"305,5","6,47","463,1","7,01","56,94","8,94","23,33",552.900,"1,48","W 250 x 73,0 (H)"
"W 250 x 80,0 (H)",80,256,255,"9,4","15,6",225,201,"101,9",12.550,"980,5","11,1","1088,7",4.313,"338,3","6,51","513,1","7,04","75,02","8,17","21,36",622.878,"1,49","W 250 x 80,0 (H)"
"HP 250 x 85,0 (H)",85,254,260,"14,4","14,4",225,201,"108,5",12.280,"966,9","10,64","1093,2",4.225,325,"6,24","499,6",7,"82,07","9,03","13,97",605.403,"1,5","HP 250 x 85,0 (H)"
"W 250 x 89,0 (H)",89,260,256,"10,7","17,3",225,201,"113,9",14.237,"1095,1","11,18","1224,4",4.841,"378,2","6,52","574,3","7,06","102,81","7,4","18,82",712.351,"1,5","W 250 x 89,0 (H)"
"W 250 x 101,0 (H)",101,264,257,"11,9","19,6",225,201,"128,7",16.352,"1238,8","11,27","1.395,00",5.549,"431,8","6,57","656,3","7,1","147,7","6,56","16,87",828.031,"1,51","W 250 x 101,0 (H)"
"W 250 x 115,0 (H)",115,269,259,"13,5","22,1",225,201,"146,1",18.920,"1406,7","11,38","1597,4",6.405,"494,6","6,62","752,7","7,16",212,"5,86","14,87",975.265,"1,53","W 250 x 115,0 (H)"
"W 310 x 21,0",21,303,101,"5,1","5,7",292,272,"27,2",3.776,"249,2","11,77","291,9",98,"19,5","1,9","31,4","2,42","3,27","8,86","53,25",21.628,"0,98","W 310 x 21,0"
"W 310 x 23,8","23,8",305,101,"5,6","6,7",292,272,"30,7",4.346,285,"11,89","333,2",116,"22,9","1,94","36,9","2,45","4,65","7,54","48,5",25.594,"0,99","W 310 x 23,8"
"W 310 x 28,3","28,3",309,102,6,"8,9",291,271,"36,5",5.500,356,"12,28",412,158,31,"2,08","49,4","2,55","8,14","5,73","45,2",35.441,1,"W 310 x 28,3"
"W 310 x 32,7","32,7",313,102,"6,6","10,8",291,271,"42,1",6.570,"419,8","12,49","485,3",192,"37,6","2,13","59,8","2,58","12,91","4,72","41,12",43.612,1,"W 310 x 32,7"
"W 310 x 38,7","38,7",310,165,"5,8","9,7",291,271,"49,7",8.581,"553,6","13,14","615,4",727,"88,1","3,82","134,9","4,38","13,2","8,51","46,66",163.728,"1,25","W 310 x 38,7"
"W 310 x 44,5","44,5",313,166,"6,6","11,2",291,271,"57,2",9.997,"638,8","13,22","712,8",855,103,"3,87",158,"4,41","19,9","7,41",41,194.433,"1,26","W 310 x 44,5"
"W 310 x 52,0",52,317,167,"7,6","13,2",291,271,67,11.909,"751,4","13,33","842,5",1.026,"122,9","3,91","188,8","4,45","31,81","6,33","35,61",236.422,"1,27","W 310 x 52,0"
"HP 310 x 79,0 (H)",79,299,306,11,11,277,245,100,16.316,"1091,3","12,77","1210,1",5.258,"343,7","7,25","525,4","8,2","46,72","13,91","22,27",1.089.258,"1,77","HP 310 x 79,0 (H)"
"HP 310 x 93,0 (H)",93,303,308,"13,1","13,1",277,245,"119,2",19.682,"1299,1","12,85","1450,3",6.387,"414,7","7,32","635,5","8,26","77,33","11,76","18,69",1.340.320,"1,78","HP 310 x 93,0 (H)"
"W 310 x 97,0 (H)",97,308,305,"9,9","15,4",277,245,"123,6",22.284,"1.447,00","13,43","1594,2",7.286,"477,8","7,68",725,"8,38","92,12","9,9","24,77",1.558.682,"1,79","W 310 x 97,0 (H)"
"W 310 x 107,0 (H)",107,311,306,"10,9",17,277,245,"136,4",24.839,"1597,3","13,49","1768,2",8.123,"530,9","7,72","806,1","8,41","122,68",9,"22,48",1.754.271,"1,8","W 310 x 107,0 (H)"
"HP310 x 110,0 (H)",110,308,310,"15,4","15,5",277,245,141,23.703,"1539,1","12,97","1730,6",7.707,"497,3","7,39","763,7","8,33","125,66",10,"15,91",1.646.104,"1,8","HP310x110,0 (H)"
"W 310 x 117,0 (H)",117,314,307,"11,9","18,7",277,245,"149,9",27.563,"1755,6","13,56","1952,6",9.024,"587,9","7,76","893,1","8,44","161,61","8,21","20,55",1.965.950,"1,8","W 310 x 117,0 (H)"
"HP310 x 125,0 (H)",125,312,312,"17,4","17,4",277,245,159,27.076,"1735,6","13,05","1963,3",8.823,"565,6","7,45","870,6","8,38","177,98","8,97","14,09",1.911.029,"1,81","HP310 x 125,0 (H)"
"W 360 x 32,9","32,9",349,127,"5,8","8,5",332,308,"42,1",8.358,479,"14,09","547,6",291,"45,9","2,63",72,"3,2","9,15","7,47","53,1",84.111,"1,17","W 360 x 32,9"
"W 360 x 39,0",39,353,128,"6,5","10,7",332,308,"50,2",10.331,"585,3","14,35","667,7",375,"58,6","2,73","91,9","3,27","15,83","5,98","47,32",109.551,"1,18","W 360 x 39,0"
"W 360 x 44,0",44,352,171,"6,9","9,8",332,308,"57,7",12.258,"696,5","14,58","784,3",818,"95,7","3,77",148,"4,43","16,7","8,72","44,7",239.091,"1,35","W 360 x 44,0"
"W 360 x 51,0",51,355,171,"7,2","11,6",332,308,"64,8",14.222,"801,2","14,81","899,5",968,"113,3","3,87","174,7","4,49","24,65","7,37","42,75",284.994,"1,36","W 360 x 51,0"
"W 360 x 57,8","57,8",358,172,"7,9","13,1",332,308,"72,5",16.143,"901,8","14,92","1014,8",1.113,"129,4","3,92","199,8","4,53","34,45","6,56","38,96",330.394,"1,37","W 360 x 57,8"
"W 360 x 64,0",64,347,203,"7,7","13,5",320,288,"81,7",17.890,"1031,1","14,8","1145,5",1.885,"185,7","4,8","284,5","5,44","44,57","7,52","37,4",523.362,"1,46","W 360 x 64,0"
"W 360 x 72,0",72,350,204,"8,6","15,1",320,288,"91,3",20.169,"1152,5","14,86","1285,9",2.140,"209,8","4,84","321,8","5,47","61,18","6,75","33,47",599.082,"1,47","W 360 x 72,0"
"W 360 x 79,0",79,354,205,"9,4","16,8",320,288,"101,2",22.713,"1283,2","14,98","1.437,00",2.416,"235,7","4,89","361,9","5,51","82,41","6,1","30,68",685.701,"1,48","W 360 x 79,0"
"W 360 x 91,0 (H)",91,353,254,"9,5","16,4",320,288,"115,9",26.755,"1515,9","15,19","1680,1",4.483,353,"6,22","538,1","6,9","92,61","7,74","30,34",1.268.709,"1,68","W 360 x 91,0 (H)"
"W 360 x 101,0 (H)",101,357,255,"10,5","18,3",320,286,"129,5",30.279,"1696,3","15,29","1888,9",5.063,"397,1","6,25","606,1","6,93","128,47","6,97","27,28",1.450.410,"1,68","W 360 x 101,0 (H)"
"W 360 x 110,0 (H)",110,360,256,"11,4","19,9",320,288,"140,6",33.155,"1841,9","15,36","2059,3",5.570,"435,2","6,29","664,5","6,96","161,93","6,43","25,28",1.609.070,"1,69","W 360 x 110,0 (H)"
"W 360 x 122,0 (H)",122,363,257,13,"21,7",320,288,"155,3",36.599,"2016,5","15,35","2269,8",6.147,"478,4","6,29","732,4","6,98","212,7","5,92","22,12",1.787.806,"1,7","W 360 x 122,0 (H)"
"W 410 x 38,8","38,8",399,140,"6,4","8,8",381,357,"50,3",12.777,"640,5","15,94","736,8",404,"57,7","2,83","90,9","3,49","11,69","7,95","55,84",153.190,"1,32","W 410 x 38,8"
"W 410 x 46,1","46,1",403,140,7,"11,2",381,357,"59,2",15.690,"778,7","16,27","891,1",514,"73,4","2,95","115,2","3,55","20,06","6,25","50,94",196.571,"1,33","W 410 x 46,1"
"W 410 x 53,0",53,403,177,"7,5","10,9",381,357,"68,4",18.734,"929,7","16,55","1052,2",1.009,114,"3,84","176,9","4,56","23,38","8,12","47,63",387.194,"1,48","W 410 x 53,0"
"W 410 x 60,0",60,407,178,"7,7","12,8",381,357,"76,2",21.707,"1066,7","16,88","1201,5",1.205,"135,4","3,98","209,2","4,65","33,78","6,95","46,42",467.404,"1,49","W 410 x 60,0"
"W 410 x 67,0",67,410,179,"8,8","14,4",381,357,"86,3",24.678,"1203,8","16,91","1362,7",1.379,"154,1",4,239,"4,67","48,11","6,22","40,59",538.546,"1,5","W 410 x 67,0"
"W 410 x 75,0",75,413,180,"9,7",16,381,357,"95,8",27.616,"1337,3","16,98","1518,6",1.559,"173,2","4,03","269,1","4,7","65,21","5,63","36,8",612.784,"1,51","W 410 x 75,0"
"W 410 x 85,0",85,417,181,"10,9","18,2",381,357,"108,6",31.658,"1518,4","17,07","1731,7",1.804,"199,3","4,08","310,4","4,74","94,48","4,97","32,72",715.165,"1,52","W 410 x 85,0"
"W 460 x 52,0",52,450,152,"7,6","10,8",428,404,"66,6",21.370,"949,8","17,91","1095,9",634,"83,5","3,09","131,7","3,79","21,79","7,04","53,21",304.837,"1,47","W 460 x 52,0"
"W 460 x 60,0",60,455,153,8,"13,3",428,404,"76,2",25.652,"1127,6","18,35","1292,1",796,"104,1","3,23","163,4","3,89","34,6","5,75","50,55",387.230,"1,49","W 460 x 60,0"
"W 460 x 68,0",68,459,154,"9,1","15,4",428,404,"87,6",29.851,"1300,7","18,46","1495,4",941,"122,2","3,28","192,4","3,93","52,29",5,"44,42",461.163,"1,5","W 460 x 68,0"
"W 460 x 74,0",74,457,190,9,"14,5",428,404,"94,9",33.415,"1462,4","18,77","1657,4",1.661,"174,8","4,18","271,3","4,93","52,97","6,55","44,89",811.417,"1,64","W 460 x 74,0"
"W 460 x 82,0",82,460,191,"9,9",16,428,404,"104,7",37.157,"1615,5","18,84","1836,4",1.862,195,"4,22","303,3","4,96","70,62","5,97","40,81",915.745,"1,64","W 460 x 82,0"
"W 460 x 89,0",89,463,192,"10,5","17,7",428,404,"114,1",41.105,"1775,6","18,98","2019,4",2.093,218,"4,28",339,"5,01","92,49","5,42","38,44",1.035.073,"1,65","W 460 x 89,0"
"W 460 x 97,0",97,466,193,"11,4",19,428,404,"123,4",44.658,"1916,7","19,03","2187,4",2.283,"236,6","4,3","368,8","5,03","115,05","5,08","35,44",1.137.180,"1,66","W 460 x 97,0"
"W 460 x 106,0",106,469,194,"12,6","20,6",428,404,"135,1",48.978,"2088,6","19,04","2394,6",2.515,"259,3","4,32","405,7","5,05","148,19","4,71","32,05",1.260.063,"1,67","W 460 x 106,0"
"W 530 x 66,0",66,525,165,"8,9","11,4",502,478,"83,6",34.971,"1332,2","20,46","1.558,00",857,"103,9","3,2",166,"4,02","31,52","7,24","53,73",562.854,"1,67","W 530 x 66,0"
"W 530 x 72,0",72,524,207,9,"10,9",502,478,"91,6",39.969,"1525,5","20,89","1755,9",1.615,156,"4,2","244,6","5,16","33,41","9,5","53,13",1.060.548,"1,84","W 530 x 72,0"
"W 530 x 74,0",74,529,166,"9,7","13,6",502,478,"95,1",40.969,"1548,9","20,76","1804,9",1.041,"125,5","3,31","200,1","4,1","47,39","6,1","49,26",688.558,"1,68","W 530 x 74,0"
"W 530 x 82,0",82,528,209,"9,5","13,3",501,477,"104,5",47.569,"1801,8","21,34","2058,5",2.028,"194,1","4,41","302,7","5,31","51,23","7,86","50,25",1.340.255,"1,85","W 530 x 82,0"
"W 530 x 85,0",85,535,166,"10,3","16,5",502,478,"107,7",48.453,"1811,3","21,21","2099,8",1.263,"152,2","3,42","241,6","4,17","72,93","5,03","46,41",845.463,"1,69","W 530 x 85,0"
"W 530 x 92,0",92,533,209,"10,2","15,6",502,478,"117,6",55.157,"2069,7","21,65","2359,8",2.379,"227,6","4,5","354,7","5,36","75,5","6,7","46,84",1.588.565,"1,86","W 530 x 92,0"
"W 530 x 101,0",101,537,210,"10,9","17,4",502,470,130,62.198,"2316,5","21,87","2640,4",2.693,"256,5","4,55","400,6","5,4","106,04","6,03","43,14",1.812.734,"1,86","W 530 x 101,0"
"W 530 x 109,0",109,539,211,"11,6","18,8",501,469,"139,7",67.226,"2494,5","21,94","2.847,00",2.952,"279,8","4,6","437,4","5,44","131,38","5,61","40,47",1.991.291,"1,87","W 530 x 109,0"
"W 610 x 101,0",101,603,228,"10,5","14,9",573,541,"130,3",77.003,"2.554,00","24,31","2922,7",2.951,"258,8","4,76",405,"5,76","81,68","7,65","51,54",2.544.966,"2,07","W 610 x 101,0"
"W 610 x 113,0",113,608,228,"11,2","17,3",573,541,"145,3",88.196,"2901,2","24,64","3312,9",3.426,"300,5","4,86","469,7","5,82","116,5","6,59","48,34",2.981.078,"2,08","W 610 x 113,0"
"W 610 x 125,0",125,612,229,"11,9","19,6",573,541,"160,1",99.184,"3241,3","24,89","3697,3",3.933,"343,5","4,96","536,3","5,89","159,5","5,84","45,45",3.441.766,"2,09","W 610 x 125,0"
"W 610 x 140,0",140,617,230,"13,1","22,2",573,541,"179,3",112.619,"3650,5","25,06","4173,1",4.515,"392,6","5,02",614,"5,94","225,01","5,18","41,27",3.981.687,"2,1","W 610 x 140,0"
"W 610 x 155,0",155,611,324,"12,7",19,573,541,"198,1",129.583,"4241,7","25,58","4749,1",10.783,"665,6","7,38","1022,6","8,53","200,77","8,53","42,6",9.436.714,"2,47","W 610 x 155,0"
"W 610 x 174,0",174,616,325,14,"21,6",573,541,"222,8",147.754,"4797,2","25,75","5383,3",12.374,"761,5","7,45","1171,1","8,58","286,88","7,52","38,63",10.915.665,"2,48","W 610 x 174,0"
